patternSignature,patternReadable,currentEligible,manual31ColumnCount,manual65PatternCount,lpColumnCount,positiveLpActivity,coveredResidualOrders,coveredResidualQuantity,coverageScarcity,missingResidualWidths,wastePerCar,targetResidualWastePerCar,wasteFit,demandDualUpperBound,lpPoolDensityRank,orderCoverageFrontierRank,lpDualWeightedRank
"4380|1080x3,1140x1","{1080=3, 1140=1} @4380mm (pw=4380, util=100.0%)","false","2","2","0","0.000000000","2","6","0.001676446","1","220","228.466257669","0.105638367","5.320054370",,"48128","5"
"4400|550x1,940x1,970x3","{550=1, 940=1, 970=3} @4400mm (pw=4400, util=100.0%)","false","2","2","18","1.946669891","4","25","0.003029498","1","200","228.466257669","0.033937123","1.832745126","6","39080","37126"
"4390|970x3,1480x1","{970=3, 1480=1} @4390mm (pw=4390, util=100.0%)","true","2","2","16","0.000000000","4","13","0.002824328","0","210","228.466257669","0.051370942","3.004382763","16","41140","7672"
"4330|550x1,840x1,980x3","{550=1, 840=1, 980=3} @4330mm (pw=4330, util=100.0%)","true","2","2","2","0.000000000","12","99","0.016852862","0","270","228.466257669","0.023510746","2.645860820","114","13565","14403"
"4390|1000x1,1100x2,1190x1","{1000=1, 1100=2, 1190=1} @4390mm (pw=4390, util=100.0%)","true","1","1","16","0.596879280","21","245","0.061728487","0","210","228.466257669","0.051370942","1.641581349","10","1143","42223"
"4400|1000x1,1100x2,1200x1","{1000=1, 1100=2, 1200=1} @4400mm (pw=4400, util=100.0%)","true","1","1","9","0.000000000","21","243","0.061123723","0","200","228.466257669","0.033937123","1.566368487","38","1212","44064"
"4400|960x1,1100x2,1240x1","{960=1, 1100=2, 1240=1} @4400mm (pw=4400, util=100.0%)","false","1","1","7","1.000000000","17","258","0.070193681","1","200","228.466257669","0.033937123","1.752889174","43","595","39361"
"4400|850x1,1070x1,1240x2","{850=1, 1070=1, 1240=2} @4400mm (pw=4400, util=100.0%)","false","1","1","5","1.000000000","9","135","0.027670120","1","200","228.466257669","0.033937123","2.084788722","54","5421","29695"
"4400|850x3,870x1,980x1","{850=3, 870=1, 980=1} @4400mm (pw=4400, util=100.0%)","false","1","1","2","0.000000000","11","166","0.026983963","1","200","228.466257669","0.033937123","1.854060521","126","5504","36481"
"4350|550x1,890x1,970x3","{550=1, 890=1, 970=3} @4350mm (pw=4350, util=100.0%)","false","1","2","1","1.000000000","4","25","0.003029498","1","250","228.466257669","0.044377893","2.367990081","128","39079","21445"
"4380|840x4,1020x1","{840=4, 1020=1} @4380mm (pw=4380, util=100.0%)","false","1","1","1","0.950000000","4","9","0.001187178","1","220","228.466257669","0.105638367","3.614867623","134","51309","1914"
"4380|790x1,1100x1,1240x1,1250x1","{790=1, 1100=1, 1240=1, 1250=1} @4380mm (pw=4380, util=100.0%)","true","1","1","0","0.000000000","19","278","0.073865321","0","220","228.466257669","0.105638367","1.863149527",,"215","36199"
"4310|850x1,1100x2,1260x1","{850=1, 1100=2, 1260=1} @4310mm (pw=4310, util=100.0%)","true","1","1","0","0.000000000","19","317","0.072298770","0","290","228.466257669","0.015991367","1.891769187",,"364","35417"
"4360|1010x2,1100x1,1240x1","{1010=2, 1100=1, 1240=1} @4360mm (pw=4360, util=100.0%)","false","1","1","0","0.000000000","17","258","0.070193681","1","240","228.466257669","0.079784630","1.470583738",,"590","46148"
"4320|970x1,1000x1,1100x1,1250x1","{970=1, 1000=1, 1100=1, 1250=1} @4320mm (pw=4320, util=100.0%)","true","1","1","0","0.000000000","24","259","0.064829096","0","280","228.466257669","0.019035385","2.143447029",,"962","28003"
"4400|1050x1,1100x2,1150x1","{1050=1, 1100=2, 1150=1} @4400mm (pw=4400, util=100.0%)","true","1","1","0","0.000000000","15","226","0.058391189","0","200","228.466257669","0.033937123","2.125341238",,"1723","28552"
"4380|970x2,1220x2","{970=2, 1220=2} @4380mm (pw=4380, util=100.0%)","true","1","1","0","0.000000000","4","16","0.003565370","0","220","228.466257669","0.105638367","3.607562782",,"36400","1973"
"4310|550x2,1010x1,1100x2","{550=2, 1010=1, 1100=2} @4310mm (pw=4310, util=100.0%)","false","1","1","0","0.000000000","13","225","0.055380211","1","290","228.466257669","0.015991367","1.139570114",,"3372","51357"
"4400|850x1,1060x1,1240x1,1250x1","{850=1, 1060=1, 1240=1, 1250=1} @4400mm (pw=4400, util=100.0%)","true","1","1","0","0.000000000","11","157","0.033506649","0","200","228.466257669","0.033937123","2.164739079",,"4352","27361"
"4370|850x1,1125x1,1150x1,1240x1","{850=1, 1125=1, 1150=1, 1240=1} @4370mm (pw=4365, util=99.9%)","true","1","1","0","0.000000000","12","151","0.032288001","0","235","228.466257669","0.132736156","1.608151630",,"4536","43032"
"4390|850x1,1150x2,1240x1","{850=1, 1150=2, 1240=1} @4390mm (pw=4390, util=100.0%)","true","1","1","0","0.000000000","11","145","0.030530532","0","210","228.466257669","0.051370942","1.828842031",,"4837","37227"
"4390|600x1,850x1,980x3","{600=1, 850=1, 980=3} @4390mm (pw=4390, util=100.0%)","false","1","1","0","0.000000000","11","166","0.026983963","1","210","228.466257669","0.051370942","2.153131619",,"5502","27713"
"4320|1060x3,1140x1","{1060=3, 1140=1} @4320mm (pw=4320, util=100.0%)","true","1","1","0","0.000000000","3","22","0.005441152","0","280","228.466257669","0.019035385","2.830338954",,"28886","10522"
"4360|1090x4","{1090=4} @4360mm (pw=4360, util=100.0%)","true","1","1","0","0.000000000","3","71","0.017870627","0","240","228.466257669","0.079784630","1.621066097",,"11701","42700"
"4390|980x2,1130x1,1300x1","{980=2, 1130=1, 1300=1} @4390mm (pw=4390, util=100.0%)","true","1","1","0","0.000000000","10","86","0.017797189","0","210","228.466257669","0.051370942","1.924120721",,"12037","34454"
"4390|780x4,1270x1","{780=4, 1270=1} @4390mm (pw=4390, util=100.0%)","false","1","1","0","0.000000000","1","7","0.002509860","1","210","228.466257669","0.051370942","2.245780826",,"42784","24913"
"4390|550x1,1280x3","{550=1, 1280=3} @4390mm (pw=4390, util=100.0%)","true","1","1","0","0.000000000","2","19","0.002971828","0","210","228.466257669","0.051370942","1.828366178",,"39750","37233"
"4310|860x1,970x1,1240x2","{860=1, 970=1, 1240=2} @4310mm (pw=4310, util=100.0%)","true","0","0","29","0.000000000","9","62","0.018402096","0","290","228.466257669","0.015991367","2.775275836","1","11027","11644"
"4320|980x1,1000x1,1100x1,1240x1","{980=1, 1000=1, 1100=1, 1240=1} @4320mm (pw=4320, util=100.0%)","true","0","0","0","0.000000000","32","364","0.090976114","0","280","228.466257669","0.019035385","2.202493986",,"1","26234"
"4330|1015x2,1080x1,1220x1","{1015=2, 1080=1, 1220=1} @4330mm (pw=4330, util=100.0%)","false","0","0","0","0.000000000","1","4","0.001305057","2","270","228.466257669","0.023510746","5.541227897",,"50150","1"
"4300|980x2,1100x1,1240x1","{980=2, 1100=1, 1240=1} @4300mm (pw=4300, util=100.0%)","true","0","0","26","0.000000000","24","335","0.085090179","0","300","228.466257669","0.013786687","2.157622991","2","30","27583"
"4400|1015x1,1080x2,1220x1","{1015=1, 1080=2, 1220=1} @4400mm (pw=4395, util=99.9%)","false","0","0","0","0.000000000","1","4","0.001305057","2","205","228.466257669","0.040872618","5.522128735",,"50132","2"
"4400|970x1,1090x1,1100x1,1240x1","{970=1, 1090=1, 1100=1, 1240=1} @4400mm (pw=4400, util=100.0%)","true","0","0","0","0.000000000","23","341","0.090324620","0","200","228.466257669","0.033937123","2.031014486",,"2","31272"
"4320|1015x1,1080x2,1140x1","{1015=1, 1080=2, 1140=1} @4320mm (pw=4315, util=99.9%)","false","0","0","0","0.000000000","2","6","0.001676446","2","285","228.466257669","0.017381105","5.339153533",,"48184","3"
"4320|980x1,1090x1,1100x1,1150x1","{980=1, 1090=1, 1100=1, 1150=1} @4320mm (pw=4320, util=100.0%)","true","0","0","0","0.000000000","24","370","0.090238562","0","280","228.466257669","0.019035385","1.743412490",,"3","39616"
"4400|970x2,980x1,1480x1","{970=2, 980=1, 1480=1} @4400mm (pw=4400, util=100.0%)","true","0","0","20","2.083636778","11","90","0.017720827","0","200","228.466257669","0.033937123","2.986062177","3","12214","7926"
"4300|850x1,1090x1,1100x1,1260x1","{850=1, 1090=1, 1100=1, 1260=1} @4300mm (pw=4300, util=100.0%)","true","0","0","0","0.000000000","22","388","0.090169396","0","300","228.466257669","0.013786687","1.957785169",,"4","33425"
"4310|1015x3,1260x1","{1015=3, 1260=1} @4310mm (pw=4305, util=99.9%)","false","0","0","0","0.000000000","3","16","0.005600280","1","295","228.466257669","0.014807413","5.324868775",,"28397","4"
"4400|1090x3,1130x1","{1090=3, 1130=1} @4400mm (pw=4400, util=100.0%)","true","0","1","19","0.778651272","5","76","0.019245764","0","200","228.466257669","0.033937123","1.599495222","4","9463","43257"
"4310|980x1,1090x1,1100x1,1140x1","{980=1, 1090=1, 1100=1, 1140=1} @4310mm (pw=4310, util=100.0%)","true","0","0","0","0.000000000","24","366","0.089054596","0","290","228.466257669","0.015991367","2.347002669",,"5","22034"
"4340|860x1,1000x1,1240x2","{860=1, 1000=1, 1240=2} @4340mm (pw=4340, util=100.0%)","true","0","0","19","0.034479610","14","79","0.022027718","0","260","228.466257669","0.030737318","2.801826244","5","6766","11105"
"4380|980x1,1060x1,1100x1,1240x1","{980=1, 1060=1, 1100=1, 1240=1} @4380mm (pw=4380, util=100.0%)","true","0","0","0","0.000000000","25","351","0.088854885","0","220","228.466257669","0.105638367","2.200110364",,"6","26297"
"4400|1015x2,1050x1,1320x1","{1015=2, 1050=1, 1320=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","1","4","0.000919752","2","200","228.466257669","0.033937123","5.315127902",,"52008","6"
"4300|980x1,1090x1,1100x1,1130x1","{980=1, 1090=1, 1100=1, 1130=1} @4300mm (pw=4300, util=100.0%)","true","0","0","0","0.000000000","24","365","0.088753288","0","300","228.466257669","0.013786687","1.678408331",,"7","41272"
"4310|850x1,980x1,1240x2","{850=1, 980=1, 1240=2} @4310mm (pw=4310, util=100.0%)","true","0","0","18","0.000000000","16","212","0.042566619","0","290","228.466257669","0.015991367","2.199619248","7","3927","26316"
"4370|1015x2,1080x1,1260x1","{1015=2, 1080=1, 1260=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","3","16","0.005600280","2","230","228.466257669","0.394673123","5.305769613",,"28399","7"
"4370|550x1,910x1,970x3","{550=1, 910=1, 970=3} @4370mm (pw=4370, util=100.0%)","false","0","1","17","1.000000000","4","25","0.003029498","1","230","228.466257669","0.394673123","1.832745126","8","39070","37124"
"4390|1015x2,1140x1,1220x1","{1015=2, 1140=1, 1220=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","3","10","0.002981503","1","210","228.466257669","0.051370942","5.170929756",,"39635","8"
"4390|980x1,1090x1,1100x1,1220x1","{980=1, 1090=1, 1100=1, 1220=1} @4390mm (pw=4390, util=100.0%)","true","0","0","0","0.000000000","23","364","0.088683207","0","210","228.466257669","0.051370942","2.529977871",,"8","17180"
"4300|850x1,970x1,1240x2","{850=1, 970=1, 1240=2} @4300mm (pw=4300, util=100.0%)","true","0","0","17","0.000000000","12","147","0.029930433","0","300","228.466257669","0.013786687","2.217939835","9","4994","25723"
"4320|840x1,1080x2,1320x1","{840=1, 1080=2, 1320=1} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","4","9","0.001187178","2","280","228.466257669","0.019035385","5.146866685",,"51397","9"
"4360|980x1,1090x1,1100x1,1190x1","{980=1, 1090=1, 1100=1, 1190=1} @4360mm (pw=4360, util=100.0%)","true","0","0","0","0.000000000","23","364","0.088609677","0","240","228.466257669","0.079784630","1.662726336",,"9","41679"
"4300|1015x2,1050x1,1220x1","{1015=2, 1050=1, 1220=1} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","2","8","0.002224809","1","300","228.466257669","0.013786687","5.116780115",,"44743","10"
"4320|550x1,600x1,980x1,1090x1,1100x1","{550=1, 600=1, 980=1, 1090=1, 1100=1} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","23","373","0.088147336","1","280","228.466257669","0.019035385","1.710992778",,"10","40435"
"4370|1015x1,1050x1,1080x1,1220x1","{1015=1, 1050=1, 1080=1, 1220=1} @4370mm (pw=4365, util=99.9%)","false","0","0","0","0.000000000","2","8","0.002224809","2","235","228.466257669","0.132736156","5.097680953",,"44748","11"
"4370|940x1,1090x1,1100x1,1240x1","{940=1, 1090=1, 1100=1, 1240=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","20","329","0.088064308","1","230","228.466257669","0.394673123","1.462498284",,"11","46304"
"4370|980x1,1100x2,1190x1","{980=1, 1100=2, 1190=1} @4370mm (pw=4370, util=100.0%)","true","0","0","16","0.317084092","20","293","0.070739051","0","230","228.466257669","0.394673123","1.596710354","11","541","43322"
"4350|840x1,1015x2,1480x1","{840=1, 1015=2, 1480=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","5","10","0.001751194","1","250","228.466257669","0.044377893","5.050286191",,"47699","12"
"4380|950x1,1090x1,1100x1,1240x1","{950=1, 1090=1, 1100=1, 1240=1} @4380mm (pw=4380, util=100.0%)","false","0","0","0","0.000000000","20","329","0.088064308","1","220","228.466257669","0.105638367","2.271715104",,"12","24148"
"4400|850x2,860x2,980x1","{850=2, 860=2, 980=1} @4400mm (pw=4400, util=100.0%)","true","0","4","16","0.311499667","12","170","0.027543090","0","200","228.466257669","0.033937123","2.518712407","12","5460","17453"
"4340|1000x1,1100x2,1140x1","{1000=1, 1100=2, 1140=1} @4340mm (pw=4340, util=100.0%)","true","0","0","16","0.020720424","22","247","0.062173406","0","260","228.466257669","0.030737318","2.325857682","13","1085","22623"
"4340|860x1,1080x2,1320x1","{860=1, 1080=2, 1320=1} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","1","4","0.000559128","2","260","228.466257669","0.030737318","5.049586430",,"53916","13"
"4390|960x1,1090x1,1100x1,1240x1","{960=1, 1090=1, 1100=1, 1240=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","20","329","0.088064308","1","210","228.466257669","0.051370942","1.818905156",,"13","37538"
"4340|910x1,1090x1,1100x1,1240x1","{910=1, 1090=1, 1100=1, 1240=1} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","20","329","0.088064308","1","260","228.466257669","0.030737318","1.462498284",,"14","46305"
"4350|1015x2,1080x1,1240x1","{1015=2, 1080=1, 1240=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","5","46","0.015582656","2","250","228.466257669","0.044377893","5.023943925",,"15900","14"
"4350|960x1,1100x2,1190x1","{960=1, 1100=2, 1190=1} @4350mm (pw=4350, util=100.0%)","false","0","0","16","0.000000000","13","216","0.055842552","1","250","228.466257669","0.044377893","1.402921611","14","3223","47462"
"4330|900x1,1090x1,1100x1,1240x1","{900=1, 1090=1, 1100=1, 1240=1} @4330mm (pw=4330, util=100.0%)","false","0","0","0","0.000000000","20","329","0.088064308","1","270","228.466257669","0.023510746","1.462498284",,"15","46306"
"4360|550x1,760x1,1015x3","{550=1, 760=1, 1015=3} @4360mm (pw=4355, util=99.9%)","false","0","0","0","0.000000000","3","25","0.002025204","1","245","228.466257669","0.057032890","4.990842007",,"46037","15"
"4360|970x1,1100x2,1190x1","{970=1, 1100=2, 1190=1} @4360mm (pw=4360, util=100.0%)","true","0","0","16","0.000000000","16","228","0.058102865","0","240","228.466257669","0.079784630","1.615030940","15","1845","42860"
"4310|1015x2,1140x2","{1015=2, 1140=2} @4310mm (pw=4310, util=100.0%)","false","0","0","0","0.000000000","2","6","0.001676446","1","290","228.466257669","0.015991367","4.987954554",,"48136","16"
"4320|890x1,1090x1,1100x1,1240x1","{890=1, 1090=1, 1100=1, 1240=1} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","20","329","0.088064308","1","280","228.466257669","0.019035385","1.997743239",,"16","32265"
"4300|870x1,1090x1,1100x1,1240x1","{870=1, 1090=1, 1100=1, 1240=1} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","20","329","0.088064308","1","300","228.466257669","0.013786687","2.125979598",,"17","28539"
"4360|840x2,850x2,980x1","{840=2, 850=2, 980=1} @4360mm (pw=4360, util=100.0%)","true","0","0","15","0.133879656","15","175","0.028171141","0","240","228.466257669","0.079784630","2.713272917","17","5328","12957"
"4400|840x1,1015x1,1220x1,1320x1","{840=1, 1015=1, 1220=1, 1320=1} @4400mm (pw=4395, util=99.9%)","false","0","0","0","0.000000000","5","13","0.002492236","2","205","228.466257669","0.040872618","4.978642908",,"42998","17"
"4300|1000x1,1100x3","{1000=1, 1100=3} @4300mm (pw=4300, util=100.0%)","true","0","0","15","0.000000000","20","241","0.060496960","0","300","228.466257669","0.013786687","1.612818237","18","1273","42913"
"4370|980x1,1090x1,1100x1,1200x1","{980=1, 1090=1, 1100=1, 1200=1} @4370mm (pw=4370, util=100.0%)","true","0","0","0","0.000000000","23","362","0.088004913","0","230","228.466257669","0.394673123","1.587513474",,"18","43540"
"4380|1015x1,1080x1,1140x2","{1015=1, 1080=1, 1140=2} @4380mm (pw=4375, util=99.9%)","false","0","0","0","0.000000000","2","6","0.001676446","2","225","228.466257669","0.223901099","4.968855392",,"48146","18"
"4370|600x2,980x1,1090x1,1100x1","{600=2, 980=1, 1090=1, 1100=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","22","360","0.087378150","1","230","228.466257669","0.394673123","1.872879834",,"19","35948"
"4370|860x1,1015x2,1480x1","{860=1, 1015=2, 1480=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","2","5","0.001123144","1","230","228.466257669","0.394673123","4.953005936",,"51953","19"
"4380|840x2,850x2,1000x1","{840=2, 850=2, 1000=1} @4380mm (pw=4380, util=100.0%)","true","0","0","15","0.000000000","16","127","0.019160577","0","220","228.466257669","0.105638367","2.758143912","19","9674","12021"
"4310|850x1,1090x1,1100x1,1270x1","{850=1, 1090=1, 1100=1, 1270=1} @4310mm (pw=4310, util=100.0%)","true","0","0","0","0.000000000","20","379","0.087078976","0","290","228.466257669","0.015991367","1.359085274",,"20","48187"
"4360|1015x2,1080x1,1250x1","{1015=2, 1080=1, 1250=1} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","1","6","0.002071823","2","240","228.466257669","0.079784630","4.946576382",,"45852","20"
"4400|910x2,1100x1,1480x1","{910=2, 1100=1, 1480=1} @4400mm (pw=4400, util=100.0%)","false","0","0","15","0.000000000","13","213","0.055175041","1","200","228.466257669","0.033937123","1.638084700","20","3580","42310"
"4310|970x1,1100x2,1140x1","{970=1, 1100=2, 1140=1} @4310mm (pw=4310, util=100.0%)","true","0","0","14","0.000000000","17","230","0.058547784","0","290","228.466257669","0.015991367","2.299307273","21","1683","23376"
"4380|550x1,790x1,850x1,1090x1,1100x1","{550=1, 790=1, 850=1, 1090=1, 1100=1} @4380mm (pw=4380, util=100.0%)","true","0","0","0","0.000000000","21","399","0.086938119","0","220","228.466257669","0.105638367","1.250478877",,"21","49924"
"4380|840x4,1015x1","{840=4, 1015=1} @4380mm (pw=4375, util=99.9%)","false","0","0","0","0.000000000","4","9","0.001187178","1","225","228.466257669","0.223901099","4.913997104",,"51307","21"
"4320|850x1,1090x1,1100x1,1280x1","{850=1, 1090=1, 1100=1, 1280=1} @4320mm (pw=4320, util=100.0%)","true","0","0","0","0.000000000","20","378","0.086771759","0","280","228.466257669","0.019035385","1.525034816",,"22","44984"
"4380|550x1,780x1,1015x3","{550=1, 780=1, 1015=3} @4380mm (pw=4375, util=99.9%)","false","0","0","0","0.000000000","1","13","0.000769185","2","225","228.466257669","0.223901099","4.913426844",,"52270","22"
"4400|550x1,850x1,1000x3","{550=1, 850=1, 1000=3} @4400mm (pw=4400, util=100.0%)","true","0","1","12","2.821096032","13","131","0.018742584","0","200","228.466257669","0.033937123","2.125857550","22","10227","28541"
"4350|1000x1,1015x2,1320x1","{1000=1, 1015=2, 1320=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","8","29","0.005885935","2","250","228.466257669","0.044377893","4.912054166",,"27562","23"
"4350|550x1,760x1,850x1,1090x1,1100x1","{550=1, 760=1, 850=1, 1090=1, 1100=1} @4350mm (pw=4350, util=100.0%)","true","0","0","0","0.000000000","22","397","0.086594320","0","250","228.466257669","0.044377893","1.623758401",,"23","42645"
"4370|790x1,1100x1,1240x2","{790=1, 1100=1, 1240=2} @4370mm (pw=4370, util=100.0%)","true","0","0","12","0.665520390","18","272","0.071793498","0","230","228.466257669","0.394673123","1.940517070","23","405","33961"
"4310|600x1,840x2,1015x2","{600=1, 840=2, 1015=2} @4310mm (pw=4310, util=100.0%)","false","0","0","0","0.000000000","4","9","0.001187178","2","290","228.466257669","0.015991367","4.908613063",,"51401","24"
"4340|1000x2,1100x1,1240x1","{1000=2, 1100=1, 1240=1} @4340mm (pw=4340, util=100.0%)","true","0","0","12","0.000000000","25","287","0.076079616","0","260","228.466257669","0.030737318","2.247364981","24","106","24870"
"4340|850x1,1090x1,1100x1,1300x1","{850=1, 1090=1, 1100=1, 1300=1} @4340mm (pw=4340, util=100.0%)","true","0","0","0","0.000000000","20","376","0.086094669","0","260","228.466257669","0.030737318","1.398012105",,"24","47565"
"4350|1050x1,1080x2,1140x1","{1050=1, 1080=2, 1140=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","3","10","0.002596198","1","250","228.466257669","0.044377893","4.895606588",,"42154","25"
"4370|980x1,1050x1,1100x1,1240x1","{980=1, 1050=1, 1100=1, 1240=1} @4370mm (pw=4370, util=100.0%)","true","0","0","0","0.000000000","25","339","0.086009931","0","230","228.466257669","0.394673123","2.605567721",,"25","15356"
"4380|940x1,1100x2,1240x1","{940=1, 1100=2, 1240=1} @4380mm (pw=4380, util=100.0%)","false","0","0","12","0.000000000","17","258","0.070193681","1","220","228.466257669","0.105638367","1.396482302","25","589","47582"
"4330|1015x3,1280x1","{1015=3, 1280=1} @4330mm (pw=4325, util=99.9%)","false","0","0","0","0.000000000","1","6","0.002202643","1","275","228.466257669","0.021037687","4.892118423",,"44775","26"
"4330|850x1,1000x1,1240x2","{850=1, 1000=1, 1240=2} @4330mm (pw=4330, util=100.0%)","true","0","3","11","1.319727891","17","164","0.033556055","0","270","228.466257669","0.023510746","2.244490243","26","4324","24955"
"4400|600x1,760x1,850x1,1090x1,1100x1","{600=1, 760=1, 850=1, 1090=1, 1100=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","21","384","0.085825135","1","200","228.466257669","0.033937123","1.785645456",,"26","38487"
"4330|950x1,1080x2,1220x1","{950=1, 1080=2, 1220=1} @4330mm (pw=4330, util=100.0%)","false","0","0","0","0.000000000","1","4","0.001305057","2","270","228.466257669","0.023510746","4.889658265",,"50155","27"
"4370|550x1,780x1,850x1,1090x1,1100x1","{550=1, 780=1, 850=1, 1090=1, 1100=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","20","385","0.085338302","1","230","228.466257669","0.394673123","1.546343238",,"27","44520"
"4380|980x1,1100x2,1200x1","{980=1, 1100=2, 1200=1} @4380mm (pw=4380, util=100.0%)","true","0","0","11","0.863850334","20","291","0.070134286","0","220","228.466257669","0.105638367","1.521497491","27","633","45046"
"4330|550x1,740x1,850x1,1090x1,1100x1","{550=1, 740=1, 850=1, 1090=1, 1100=1} @4330mm (pw=4330, util=100.0%)","false","0","0","0","0.000000000","20","385","0.085338302","1","270","228.466257669","0.023510746","1.122467872",,"28","51546"
"4380|600x1,840x2,1015x1,1080x1","{600=1, 840=2, 1015=1, 1080=1} @4380mm (pw=4375, util=99.9%)","false","0","0","0","0.000000000","4","9","0.001187178","3","225","228.466257669","0.223901099","4.889513901",,"51443","28"
"4390|550x1,840x1,1000x3","{550=1, 840=1, 1000=3} @4390mm (pw=4390, util=100.0%)","true","0","0","11","0.346311174","13","51","0.007842298","0","210","228.466257669","0.051370942","2.780473806","28","23711","11536"
"4320|970x1,1015x2,1320x1","{970=1, 1015=2, 1320=1} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","3","12","0.002260313","2","280","228.466257669","0.019035385","4.885503758",,"44262","29"
"4340|850x1,1100x1,1150x1,1240x1","{850=1, 1100=1, 1150=1, 1240=1} @4340mm (pw=4340, util=100.0%)","true","0","0","0","0.000000000","23","357","0.085141557","0","260","228.466257669","0.030737318","1.719392765",,"29","40242"
"4340|860x1,1100x2,1280x1","{860=1, 1100=2, 1280=1} @4340mm (pw=4340, util=100.0%)","true","0","0","11","0.099605799","14","222","0.057372796","0","260","228.466257669","0.030737318","2.016354835","29","2176","31705"
"4340|1015x2,1050x1,1260x1","{1015=2, 1050=1, 1260=1} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","4","20","0.006520032","1","260","228.466257669","0.030737318","4.881321831",,"26250","30"
"4340|850x1,1125x2,1240x1","{850=1, 1125=2, 1240=1} @4340mm (pw=4340, util=100.0%)","true","0","0","11","0.000000000","10","141","0.029427589","0","260","228.466257669","0.030737318","1.387461228","30","5068","47724"
"4340|940x1,1100x2,1200x1","{940=1, 1100=2, 1200=1} @4340mm (pw=4340, util=100.0%)","false","0","0","11","0.000000000","13","214","0.055237788","1","260","228.466257669","0.030737318","0.971301876","31","3547","52870"
"4390|1015x2,1080x1,1280x1","{1015=2, 1080=1, 1280=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","1","6","0.002202643","2","210","228.466257669","0.051370942","4.873019260",,"44801","31"
"4390|980x1,1070x1,1100x1,1240x1","{980=1, 1070=1, 1100=1, 1240=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","24","335","0.085090179","1","210","228.466257669","0.051370942","2.042792465",,"31","30899"
"4330|980x1,1015x2,1320x1","{980=1, 1015=2, 1320=1} @4330mm (pw=4330, util=100.0%)","false","0","0","0","0.000000000","7","77","0.014896498","2","270","228.466257669","0.023510746","4.867183171",,"16936","32"
"4350|980x1,1030x1,1100x1,1240x1","{980=1, 1030=1, 1100=1, 1240=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","24","335","0.085090179","1","250","228.466257669","0.044377893","2.201287218",,"32","26263"
"4400|1100x4","{1100=4} @4400mm (pw=4400, util=100.0%)","true","0","3","10","0.068631410","12","212","0.054611025","0","200","228.466257669","0.033937123","1.357002169","32","3659","48231"
"4360|1020x1,1100x2,1140x1","{1020=1, 1100=2, 1140=1} @4360mm (pw=4360, util=100.0%)","false","0","0","10","0.062500000","14","218","0.056287471","1","240","228.466257669","0.079784630","1.873348881","33","2838","35932"
"4390|970x1,1015x1,1080x1,1320x1","{970=1, 1015=1, 1080=1, 1320=1} @4390mm (pw=4385, util=99.9%)","false","0","0","0","0.000000000","3","12","0.002260313","3","215","228.466257669","0.069126378","4.866404595",,"44323","33"
"4400|980x1,1080x1,1100x1,1240x1","{980=1, 1080=1, 1100=1, 1240=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","24","335","0.085090179","1","200","228.466257669","0.033937123","3.030015503",,"33","7253"
"4300|1060x1,1080x3","{1060=1, 1080=3} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","1","16","0.003764706","1","300","228.466257669","0.013786687","4.860447373",,"35097","34"
"4300|960x1,1100x2,1140x1","{960=1, 1100=2, 1140=1} @4300mm (pw=4300, util=100.0%)","false","0","0","10","0.000000000","14","218","0.056287471","1","300","228.466257669","0.013786687","2.087197944","34","2849","29611"
