patternSignature,patternReadable,currentEligible,manual31ColumnCount,manual65PatternCount,lpColumnCount,positiveLpActivity,coveredResidualOrders,coveredResidualQuantity,coverageScarcity,missingResidualWidths,wastePerCar,targetResidualWastePerCar,wasteFit,demandDualUpperBound,lpPoolDensityRank,orderCoverageFrontierRank,lpDualWeightedRank
"4300|550x1,780x2,1090x1,1100x1","{550=1, 780=2, 1090=1, 1100=1} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","1","300","228.466257669","0.013786687","1.794050495",,"269","38244"
"4320|1015x1,1030x1,1050x1,1220x1","{1015=1, 1030=1, 1050=1, 1220=1} @4320mm (pw=4315, util=99.9%)","false","0","0","0","0.000000000","2","8","0.002224809","2","285","228.466257669","0.017381105","4.268952668",,"44760","269"
"4300|550x2,1010x1,1090x1,1100x1","{550=2, 1010=1, 1090=1, 1100=1} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","1","300","228.466257669","0.013786687","1.205586096",,"270","50565"
"4350|1015x1,1050x1,1060x1,1220x1","{1015=1, 1050=1, 1060=1, 1220=1} @4350mm (pw=4345, util=99.9%)","false","0","0","0","0.000000000","3","24","0.005989515","1","255","228.466257669","0.036319073","4.267775814",,"27319","270"
"4320|600x1,1015x1,1220x1,1480x1","{600=1, 1015=1, 1220=1, 1480=1} @4320mm (pw=4315, util=99.9%)","false","0","0","0","0.000000000","2","5","0.001869073","2","285","228.466257669","0.017381105","4.264870212",,"47098","271"
"4370|550x1,600x1,1030x1,1090x1,1100x1","{550=1, 600=1, 1030=1, 1090=1, 1100=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","2","230","228.466257669","0.394673123","1.754657006",,"271","39314"
"4320|840x1,1015x1,1220x1,1240x1","{840=1, 1015=1, 1220=1, 1240=1} @4320mm (pw=4315, util=99.9%)","false","0","0","0","0.000000000","10","59","0.018074891","1","285","228.466257669","0.017381105","4.263011150",,"11372","272"
"4370|550x1,740x1,890x1,1090x1,1100x1","{550=1, 740=1, 890=1, 1090=1, 1100=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","2","230","228.466257669","0.394673123","1.444251630",,"272","46631"
"4380|550x1,740x1,900x1,1090x1,1100x1","{550=1, 740=1, 900=1, 1090=1, 1100=1} @4380mm (pw=4380, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","2","220","228.466257669","0.105638367","0.909006675",,"273","53211"
"4380|550x1,780x1,950x1,1015x1,1080x1","{550=1, 780=1, 950=1, 1015=1, 1080=1} @4380mm (pw=4375, util=99.9%)","false","0","0","0","0.000000000","1","13","0.000769185","4","225","228.466257669","0.223901099","4.261857212",,"53001","273"
"4360|550x1,600x1,1020x1,1090x1,1100x1","{550=1, 600=1, 1020=1, 1090=1, 1100=1} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","2","240","228.466257669","0.079784630","1.303354972",,"274","49095"
"4370|600x1,760x1,980x1,1015x2","{600=1, 760=1, 980=1, 1015=2} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","9","89","0.016152517","2","230","228.466257669","0.394673123","4.261237388",,"14798","274"
"4350|950x1,1000x1,1080x1,1320x1","{950=1, 1000=1, 1080=1, 1320=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","8","29","0.005885935","3","250","228.466257669","0.044377893","4.260484534",,"27652","275"
