oracleColumnId,signature,pattern,cars,odd,oneCar,orderCoverage,inBroad,inRawDeep,bundleFrequency,residualClosures,residualCoverageFraction,samePatternRank,keptAtQuota12,keptAtQuota16,inCurrentDeep550,packingSelected12,packingSelected16,lossStage,detail
"52","4400|740x1,850x2,980x2|740=[10];850=[23, 23];980=[50, 50]|cars=9","740x1,850x2,980x2","9","true","false","740:10=9|850:23=18|980:50=18","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_CAR_COUNT_PRUNED; locus=cars=9; rank=0/0; target car count was not processed by completion"
"53","4400|760x1,850x2,970x2|760=[119];850=[21, 21];970=[42, 42]|cars=3","760x1,850x2,970x2","3","true","false","760:119=3|850:21=6|970:42=6","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_CAR_COUNT_PRUNED; locus=cars=3; rank=0/0; target car count was not processed by completion"
"54","4400|760x1,850x2,970x2|760=[11];850=[21, 21];970=[42, 42]|cars=2","760x1,850x2,970x2","2","false","false","760:11=2|850:21=4|970:42=4","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_LOCAL_CONFIGURATION_PRUNED; locus=width=970; rank=0/8; configuration was not produced by full local enumeration"
"55","4400|760x1,850x2,970x2|760=[12];850=[21, 21];970=[42, 42]|cars=10","760x1,850x2,970x2","10","false","false","760:12=10|850:21=20|970:42=20","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_CAR_COUNT_PRUNED; locus=cars=10; rank=0/0; target car count was not processed by completion"
"56","4400|760x1,850x2,970x2|760=[13];850=[21, 21];970=[42, 42]|cars=2","760x1,850x2,970x2","2","false","false","760:13=2|850:21=4|970:42=4","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_LOCAL_CONFIGURATION_PRUNED; locus=width=760; rank=0/8; configuration was not produced by full local enumeration"
"57","4400|850x1,1060x1,1240x1,1250x1|850=[20];1060=[69];1240=[104];1250=[108]|cars=4","850x1,1060x1,1240x1,1250x1","4","false","false","850:20=4|1060:69=4|1240:104=4|1250:108=4","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
"58","4400|850x1,1070x1,1240x2|850=[20];1070=[71];1240=[101, 101]|cars=10","850x1,1070x1,1240x2","10","false","false","850:20=10|1070:71=10|1240:101=20","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
"59","4400|850x2,860x2,980x1|850=[21, 21];860=[25, 25];980=[47]|cars=3","850x2,860x2,980x1","3","true","false","850:21=6|860:25=6|980:47=3","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_LOCAL_CONFIGURATION_PRUNED; locus=width=860; rank=0/8; configuration was not produced by full local enumeration"
"60","4400|850x2,860x2,980x1|850=[21, 21];860=[25, 26];980=[46]|cars=24","850x2,860x2,980x1","24","false","false","850:21=48|860:25=24|860:26=24|980:46=24","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_CAR_COUNT_PRUNED; locus=cars=24; rank=0/0; target car count was not processed by completion"
"61","4400|850x2,860x2,980x1|850=[21, 21];860=[25, 27];980=[43]|cars=10","850x2,860x2,980x1","10","false","false","850:21=20|860:25=10|860:27=10|980:43=10","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_LOCAL_CONFIGURATION_PRUNED; locus=width=850; rank=0/8; configuration was not produced by full local enumeration"
"62","4400|850x2,860x2,980x1|850=[21, 21];860=[27, 29];980=[48]|cars=10","850x2,860x2,980x1","10","false","false","850:21=20|860:27=10|860:29=10|980:48=10","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_LOCAL_CONFIGURATION_PRUNED; locus=width=850; rank=0/8; configuration was not produced by full local enumeration"
"63","4400|850x3,870x1,980x1|850=[20, 20, 20];870=[30];980=[44]|cars=2","850x3,870x1,980x1","2","false","false","850:20=6|870:30=2|980:44=2","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
"64","4400|950x1,1100x2,1250x1|950=[36];1100=[83, 83];1250=[109]|cars=6","950x1,1100x2,1250x1","6","false","false","950:36=6|1100:83=12|1250:109=6","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_CAR_COUNT_PRUNED; locus=cars=6; rank=0/0; target car count was not processed by completion"
"65","4400|960x1,1100x2,1240x1|960=[37];1100=[82, 82];1240=[102]|cars=10","960x1,1100x2,1240x1","10","false","false","960:37=10|1100:82=20|1240:102=10","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
