"inclusionReason","patternSignature","patternReadable","eligible","ineligibleReason","manual31ColumnCount","manual65PatternCount","lpActivity","residualScarcity","coveredResidualOrders","wasteFit","structuralScore","baselineScore","baselineRank","baselineTop60","baselineTop120","lambda0Score","lambda0Rank","lambda0Top60","lambda0Top120","lambda10Score","lambda10Rank","lambda10Top60","lambda10Top120","baselineToLambda0RankDelta","baselineToLambda10RankDelta"
"TARGET_ORACLE","4360|1090x4","{1090=4} @4360mm (pw=4360, util=100.0%)","true","","1","1","0.000000000","0.114331723","3","0.079784630","144.411507630","144.411507630","3171","false","false","144.411507630","3167","false","false","144.411507630","3167","false","false","-4","-4"
"TARGET_ORACLE","4320|1060x3,1140x1","{1060=3, 1140=1} @4320mm (pw=4320, util=100.0%)","true","","1","1","0.000000000","0.034629152","3","0.019035385","64.648187385","64.648187385","4543","false","false","64.648187385","4541","false","false","64.648187385","4541","false","false","-2","-2"
"TARGET_ORACLE","4380|970x2,1220x2","{970=2, 1220=2} @4380mm (pw=4380, util=100.0%)","true","","1","1","0.000000000","0.024028710","4","0.105638367","64.134348367","64.134348367","4548","false","false","64.134348367","4546","false","false","64.134348367","4546","false","false","-2","-2"
"TARGET_ORACLE","4390|970x3,1480x1","{970=3, 1480=1} @4390mm (pw=4390, util=100.0%)","true","","2","2","0.000000000","0.019688704","4","0.051370942","59.740074942","59.740074942","4592","false","false","59.740074942","4590","false","false","59.740074942","4590","false","false","-2","-2"
"TARGET_ORACLE","4390|550x1,1280x3","{550=1, 1280=3} @4390mm (pw=4390, util=100.0%)","true","","1","1","0.000000000","0.022458434","2","0.051370942","42.509804942","42.509804942","4671","false","false","42.509804942","4671","false","false","42.509804942","4671","false","false","0","0"
"TARGET_ORACLE","4310|550x2,1010x1,1100x2","{550=2, 1010=1, 1100=2} @4310mm (pw=4310, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:1010","1","1","","","","","","","","false","false","","","false","false","","","false","false","",""
"TARGET_ORACLE","4350|550x1,890x1,970x3","{550=1, 890=1, 970=3} @4350mm (pw=4350, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:890","1","2","","","","","","","","false","false","","","false","false","","","false","false","",""
"TARGET_ORACLE","4360|1010x2,1100x1,1240x1","{1010=2, 1100=1, 1240=1} @4360mm (pw=4360, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:1010","1","1","","","","","","","","false","false","","","false","false","","","false","false","",""
"TARGET_ORACLE","4380|1080x3,1140x1","{1080=3, 1140=1} @4380mm (pw=4380, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:1080","2","2","","","","","","","","false","false","","","false","false","","","false","false","",""
"TARGET_ORACLE","4380|840x4,1020x1","{840=4, 1020=1} @4380mm (pw=4380, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:1020","1","1","","","","","","","","false","false","","","false","false","","","false","false","",""
"TARGET_ORACLE","4390|600x1,850x1,980x3","{600=1, 850=1, 980=3} @4390mm (pw=4390, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:600","1","1","","","","","","","","false","false","","","false","false","","","false","false","",""
